District,Season,Crop Name,Area,N,P,K,ph,Avg Temp,Min Temp,Max Temp,Avg Humidity,Min Relative Humidity,Max Relative Humidity,Rainfall,Production,Season_enc,District_enc,Crop_enc,Production_log
Narsingdi,Kharif 1,Amra,28,50.55181818181818,53.36272727272726,48.14909090909091,6.47,25.0,20.0,30,70.0,80,60,169.94262295081967,220,0,43,1,5.3981627015177525
Natore,Kharif 1,Amra,270,50.55181818181818,53.36272727272726,48.14909090909091,6.47,25.0,20.0,30,70.0,80,60,124.92,830,0,44,1,6.7226297948554485
Netrokona,Kharif 1,Amra,64,50.55181818181818,53.36272727272726,48.14909090909091,6.47,25.0,20.0,30,70.0,80,60,181.08838383838383,327,0,45,1,5.793013608384144
Nilphamari,Kharif 1,Amra,5,50.55181818181818,53.36272727272726,48.14909090909091,6.47,25.0,20.0,30,70.0,80,60,179.6013888888889,104,0,46,1,4.653960350157523
Noakhali,Kharif 1,Amra,79,50.55181818181818,53.36272727272726,48.14909090909091,6.47,25.0,20.0,30,70.0,80,60,185.75631313131316,586,0,47,1,6.375024819828097
Pabna,Kharif 1,Amra,81,50.55181818181818,53.36272727272726,48.14909090909091,6.47,25.0,20.0,30,70.0,80,60,124.92,243,0,48,1,5.497168225293202
Panchagar,Kharif 1,Amra,19,50.55181818181818,53.36272727272726,48.14909090909091,6.47,25.0,20.0,30,70.0,80,60,154.21843434343435,120,0,49,1,4.795790545596741
Patuakhali,Kharif 1,Amra,400,50.55181818181818,53.36272727272726,48.14909090909091,6.47,25.0,20.0,30,70.0,80,60,207.8076923076923,493,0,50,1,6.202535517187923
Pirojpur,Kharif 1,Amra,394,50.55181818181818,53.36272727272726,48.14909090909091,6.47,25.0,20.0,30,70.0,80,60,175.42564102564103,4589,0,51,1,8.431635303054591
Rajbari,Kharif 1,Amra,233,50.55181818181818,53.36272727272726,48.14909090909091,6.47,25.0,20.0,30,70.0,80,60,155.864898989899,537,0,52,1,6.2878585601617845
Rajshahi,Kharif 1,Amra,183,50.55181818181818,53.36272727272726,48.14909090909091,6.47,25.0,20.0,30,70.0,80,60,124.92,533,0,53,1,6.280395838960195
Rangamati,Kharif 1,Amra,128,50.55181818181818,53.36272727272726,48.14909090909091,6.47,25.0,20.0,30,70.0,80,60,204.11111111111111,221,0,54,1,5.402677381872279
Rangpur,Kharif 1,Amra,12,50.55181818181818,53.36272727272726,48.14909090909091,6.47,25.0,20.0,30,70.0,80,60,179.6013888888889,120,0,55,1,4.795790545596741
Satkhira,Kharif 1,Amra,391,50.55181818181818,53.36272727272726,48.14909090909091,6.47,25.0,20.0,30,70.0,80,60,140.35353535353536,1075,0,56,1,6.98100574072173
Shariatpur,Kharif 1,Amra,84,50.55181818181818,53.36272727272726,48.14909090909091,6.47,25.0,20.0,30,70.0,80,60,155.864898989899,340,0,57,1,5.831882477283517
Sherpur,Kharif 1,Amra,58,50.55181818181818,53.36272727272726,48.14909090909091,6.47,25.0,20.0,30,70.0,80,60,181.08838383838383,305,0,58,1,5.723585101952381
Sirajganj,Kharif 1,Amra,23,50.55181818181818,53.36272727272726,48.14909090909091,6.47,25.0,20.0,30,70.0,80,60,142.85416666666666,279,0,59,1,5.634789603169249
Sunamganj,Kharif 1,Amra,41,50.55181818181818,53.36272727272726,48.14909090909091,6.47,25.0,20.0,30,70.0,80,60,333.72557471264366,31,0,60,1,3.4657359027997265
Sylhet,Kharif 1,Amra,66,50.55181818181818,53.36272727272726,48.14909090909091,6.47,25.0,20.0,30,70.0,80,60,333.72557471264366,140,0,61,1,4.948759890378168
Tangail,Kharif 1,Amra,518,50.55181818181818,53.36272727272726,48.14909090909091,6.47,25.0,20.0,30,70.0,80,60,153.4104938271605,502,0,62,1,6.220590170099739
Thakurgaon,Kharif 1,Amra,16,50.55181818181818,53.36272727272726,48.14909090909091,6.47,25.0,20.0,30,70.0,80,60,154.21843434343435,108,0,63,1,4.6913478822291435
Bandarban,Kharif 2,Arhar,64,20.73,67.73,20.29,5.79,28.0,26.0,30,35.0,50,20,243.94444444444449,17,1,1,2,2.8903717578961645
Bogura,Kharif 2,Arhar,6,20.73,67.73,20.29,5.79,28.0,26.0,30,35.0,50,20,142.85416666666666,2,1,5,2,1.0986122886681098
Chapai Nawabganj,Kharif 2,Arhar,50,20.73,67.73,20.29,5.79,28.0,26.0,30,35.0,50,20,124.92,19,1,8,2,2.995732273553991
Chattogram,Kharif 2,Arhar,35,20.73,67.73,20.29,5.79,28.0,26.0,30,35.0,50,20,243.94444444444449,23,1,9,2,3.1780538303479458
Chuadanga,Kharif 2,Arhar,24,20.73,67.73,20.29,5.79,28.0,26.0,30,35.0,50,20,129.44444444444446,6,1,10,2,1.9459101490553132
CoxsBazar,Kharif 2,Arhar,2,20.73,67.73,20.29,5.79,28.0,26.0,30,35.0,50,20,303.40277777777777,4,1,11,2,1.6094379124341003
Dinajpur,Kharif 2,Arhar,15,20.73,67.73,20.29,5.79,28.0,26.0,30,35.0,50,20,154.21843434343435,4,1,14,2,1.6094379124341003
Faridpur,Kharif 2,Arhar,5,20.73,67.73,20.29,5.79,28.0,26.0,30,35.0,50,20,155.864898989899,2,1,15,2,1.0986122886681098
Feni,Kharif 2,Arhar,11,20.73,67.73,20.29,5.79,28.0,26.0,30,35.0,50,20,248.1727642276423,2,1,16,2,1.0986122886681098
Gaibandha,Kharif 2,Arhar,49,20.73,67.73,20.29,5.79,28.0,26.0,30,35.0,50,20,179.6013888888889,29,1,17,2,3.4011973816621555
Jamalpur,Kharif 2,Arhar,8,20.73,67.73,20.29,5.79,28.0,26.0,30,35.0,50,20,181.08838383838383,2,1,21,2,1.0986122886681098
Jashore,Kharif 2,Arhar,12,20.73,67.73,20.29,5.79,28.0,26.0,30,35.0,50,20,134.2247474747475,4,1,22,2,1.6094379124341003
Joypurhat,Kharif 2,Arhar,20,20.73,67.73,20.29,5.79,28.0,26.0,30,35.0,50,20,142.85416666666666,8,1,25,2,2.1972245773362196
Khagrachari,Kharif 2,Arhar,29,20.73,67.73,20.29,5.79,28.0,26.0,30,35.0,50,20,204.11111111111111,9,1,26,2,2.302585092994046
Kurigram,Kharif 2,Arhar,61,20.73,67.73,20.29,5.79,28.0,26.0,30,35.0,50,20,179.6013888888889,18,1,29,2,2.9444389791664403
Kushtia,Kharif 2,Arhar,91,20.73,67.73,20.29,5.79,28.0,26.0,30,35.0,50,20,129.44444444444446,43,1,30,2,3.784189633918261
Lakshmipur,Kharif 2,Arhar,14,20.73,67.73,20.29,5.79,28.0,26.0,30,35.0,50,20,185.75631313131316,2,1,31,2,1.0986122886681098
Lalmonirhat,Kharif 2,Arhar,7,20.73,67.73,20.29,5.79,28.0,26.0,30,35.0,50,20,179.6013888888889,1,1,32,2,0.6931471805599453
Magura,Kharif 2,Arhar,11,20.73,67.73,20.29,5.79,28.0,26.0,30,35.0,50,20,134.2247474747475,3,1,34,2,1.3862943611198906
Meherpur,Kharif 2,Arhar,16,20.73,67.73,20.29,5.79,28.0,26.0,30,35.0,50,20,129.44444444444446,6,1,36,2,1.9459101490553132
Moulvibazar,Kharif 2,Arhar,26,20.73,67.73,20.29,5.79,28.0,26.0,30,35.0,50,20,333.72557471264366,7,1,37,2,2.0794415416798357
Munshiganj,Kharif 2,Arhar,12,20.73,67.73,20.29,5.79,28.0,26.0,30,35.0,50,20,169.94262295081967,3,1,38,2,1.3862943611198906
Naogaon,Kharif 2,Arhar,132,20.73,67.73,20.29,5.79,28.0,26.0,30,35.0,50,20,124.92,55,1,40,2,4.02535169073515
Natore,Kharif 2,Arhar,15,20.73,67.73,20.29,5.79,28.0,26.0,30,35.0,50,20,124.92,3,1,44,2,1.3862943611198906
Netrokona,Kharif 2,Arhar,8,20.73,67.73,20.29,5.79,28.0,26.0,30,35.0,50,20,181.08838383838383,3,1,45,2,1.3862943611198906
Noakhali,Kharif 2,Arhar,40,20.73,67.73,20.29,5.79,28.0,26.0,30,35.0,50,20,185.75631313131316,10,1,47,2,2.3978952727983707
Pabna,Kharif 2,Arhar,7,20.73,67.73,20.29,5.79,28.0,26.0,30,35.0,50,20,124.92,5,1,48,2,1.791759469228055
Rajbari,Kharif 2,Arhar,33,20.73,67.73,20.29,5.79,28.0,26.0,30,35.0,50,20,155.864898989899,9,1,52,2,2.302585092994046
Rajshahi,Kharif 2,Arhar,6,20.73,67.73,20.29,5.79,28.0,26.0,30,35.0,50,20,124.92,1,1,53,2,0.6931471805599453
Rangamati,Kharif 2,Arhar,151,20.73,67.73,20.29,5.79,28.0,26.0,30,35.0,50,20,204.11111111111111,80,1,54,2,4.394449154672439
Rangpur,Kharif 2,Arhar,83,20.73,67.73,20.29,5.79,28.0,26.0,30,35.0,50,20,179.6013888888889,61,1,55,2,4.127134385045092
Sherpur,Kharif 2,Arhar,8,20.73,67.73,20.29,5.79,28.0,26.0,30,35.0,50,20,181.08838383838383,3,1,58,2,1.3862943611198906
Thakurgaon,Kharif 2,Arhar,40,20.73,67.73,20.29,5.79,28.0,26.0,30,35.0,50,20,154.21843434343435,14,1,63,2,2.70805020110221
CoxsBazar,Kharif 1,Aus,7479,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,303.40277777777777,7961,0,11,3,8.982435503560263
Dhaka,Kharif 1,Aus,1454,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,169.94262295081967,1149,0,13,3,7.047517221357296
Gazipur,Kharif 1,Aus,3943,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,169.94262295081967,5147,0,18,3,8.546363568716018
Jamalpur,Kharif 1,Aus,9975,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,181.08838383838383,9157,0,21,3,9.12238309321704
Joypurhat,Kharif 1,Aus,1038,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,142.85416666666666,980,0,25,3,6.8885724595653635
Khagrachari,Kharif 1,Aus,11154,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,204.11111111111111,11256,0,26,3,9.328745436354804
Khulna,Kharif 1,Aus,9017,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,144.96843434343435,4942,0,27,3,8.505727713306959
Madaripur,Kharif 1,Aus,4854,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,160.41666666666666,3324,0,33,3,8.109224953089955
Magura,Kharif 1,Aus,14520,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,134.2247474747475,12123,0,34,3,9.402942238177694
Manikganj,Kharif 1,Aus,8158,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,169.94262295081967,6967,0,35,3,8.849083518532339
Munshiganj,Kharif 1,Aus,447,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,169.94262295081967,401,0,38,3,5.996452088619021
Narayanganj,Kharif 1,Aus,6054,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,169.94262295081967,5646,0,42,3,8.638879709672837
Narsingdi,Kharif 1,Aus,3735,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,169.94262295081967,4071,0,43,3,8.311889558230359
Netrokona,Kharif 1,Aus,3609,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,181.08838383838383,3470,0,45,3,8.152198015861787
Nilphamari,Kharif 1,Aus,4312,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,179.6013888888889,3565,0,46,3,8.179199798423086
Panchagar,Kharif 1,Aus,6020,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,154.21843434343435,6185,0,49,3,8.730043953245016
Rajbari,Kharif 1,Aus,6411,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,155.864898989899,4485,0,52,3,8.408716715080153
Rangamati,Kharif 1,Aus,14523,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,204.11111111111111,9091,0,54,3,9.115150184972434
Sherpur,Kharif 1,Aus,12847,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,181.08838383838383,12190,0,58,3,9.408453253565146
Tangail,Kharif 1,Aus,2964,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,153.4104938271605,2569,0,62,3,7.851661177889265
Bagerhat,Rabi,Banana,2077,100.23,82.01,50.05,5.98,25.0,15.0,35,80.0,85,75,144.96843434343435,8637,2,0,4,9.063926353520646
Barguna,Rabi,Banana,305,100.23,82.01,50.05,5.98,25.0,15.0,35,80.0,85,75,207.8076923076923,1397,2,2,4,7.242797922793756
Barishal,Rabi,Banana,1760,100.23,82.01,50.05,5.98,25.0,15.0,35,80.0,85,75,175.42564102564103,5781,2,3,4,8.662504922576291
Bhola,Rabi,Banana,563,100.23,82.01,50.05,5.98,25.0,15.0,35,80.0,85,75,185.23090277777777,2039,2,4,4,7.620705086838262
Brahmanbaria,Rabi,Banana,269,100.23,82.01,50.05,5.98,25.0,15.0,35,80.0,85,75,185.75631313131316,1030,2,6,4,6.93828448401696
Chandpur,Rabi,Banana,990,100.23,82.01,50.05,5.98,25.0,15.0,35,80.0,85,75,168.796875,5131,2,7,4,8.543250725735527
Chapai Nawabganj,Rabi,Banana,419,100.23,82.01,50.05,5.98,25.0,15.0,35,80.0,85,75,124.92,3395,2,8,4,8.130353547431238
CoxsBazar,Rabi,Banana,854,100.23,82.01,50.05,5.98,25.0,15.0,35,80.0,85,75,303.40277777777777,2315,2,11,4,7.7475968386928855
Cumilla,Rabi,Banana,849,100.23,82.01,50.05,5.98,25.0,15.0,35,80.0,85,75,185.75631313131316,3930,2,12,4,8.27664912542186
Dhaka,Rabi,Banana,588,100.23,82.01,50.05,5.98,25.0,15.0,35,80.0,85,75,169.94262295081967,4075,2,13,4,8.312871394342615
Faridpur,Rabi,Banana,202,100.23,82.01,50.05,5.98,25.0,15.0,35,80.0,85,75,155.864898989899,624,2,15,4,6.437751649736401
Feni,Rabi,Banana,483,100.23,82.01,50.05,5.98,25.0,15.0,35,80.0,85,75,248.1727642276423,2155,2,16,4,7.6760099320288875
Gazipur,Rabi,Banana,1499,100.23,82.01,50.05,5.98,25.0,15.0,35,80.0,85,75,169.94262295081967,9163,2,18,4,9.123038043573386
Gopalganj,Rabi,Banana,909,100.23,82.01,50.05,5.98,25.0,15.0,35,80.0,85,75,155.864898989899,5384,2,19,4,8.591372589590488
Habiganj,Rabi,Banana,279,100.23,82.01,50.05,5.98,25.0,15.0,35,80.0,85,75,333.72557471264366,775,2,20,4,6.654152520183219
Jamalpur,Rabi,Banana,1324,100.23,82.01,50.05,5.98,25.0,15.0,35,80.0,85,75,181.08838383838383,7323,2,21,4,8.898911905794401
Jashore,Rabi,Banana,1973,100.23,82.01,50.05,5.98,25.0,15.0,35,80.0,85,75,134.2247474747475,10150,2,22,4,9.225327501784431
Jhallokati,Rabi,Banana,2910,100.23,82.01,50.05,5.98,25.0,15.0,35,80.0,85,75,175.42564102564103,9500,2,23,4,9.15915233520675
Joypurhat,Rabi,Banana,416,100.23,82.01,50.05,5.98,25.0,15.0,35,80.0,85,75,142.85416666666666,3055,2,25,4,8.024862150286411
Khulna,Rabi,Banana,305,100.23,82.01,50.05,5.98,25.0,15.0,35,80.0,85,75,144.96843434343435,5123,2,27,4,8.541690663016626
Kishoreganj,Rabi,Banana,1536,100.23,82.01,50.05,5.98,25.0,15.0,35,80.0,85,75,181.08838383838383,11557,2,28,4,9.355133116877724
Kurigram,Rabi,Banana,520,100.23,82.01,50.05,5.98,25.0,15.0,35,80.0,85,75,179.6013888888889,5296,2,29,4,8.574895901544526
